url,response status,server,time to headers millis,time for content millis,response length bytes
https://tile.mapzen.com/mapzen/vector/v1/512/all/13/1311/3167.mvt?api_key=mapzen-6Lefst1,200,Metatile,328,395,36482
https://tile.mapzen.com/mapzen/vector/v1/512/all/14/2616/6330.mvt?api_key=mapzen-6Lefst1,200,Metatile,325,382,2288
https://tile.mapzen.com/mapzen/vector/v1/512/all/13/1311/3166.mvt?api_key=mapzen-6Lefst1,200,Metatile,345,405,11203
https://tile.mapzen.com/mapzen/vector/v1/512/all/13/1310/3164.mvt?api_key=mapzen-6Lefst1,200,Metatile,282,527,6075
https://tile.mapzen.com/mapzen/vector/v1/512/all/14/2616/6331.mvt?api_key=mapzen-6Lefst1,200,Metatile,66,96,1263
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/655/1582.mvt?api_key=mapzen-6Lefst1,200,Metatile,212,646,64378
https://tile.mapzen.com/mapzen/vector/v1/512/all/13/1310/3168.mvt?api_key=mapzen-6Lefst1,200,Metatile,215,567,57682
https://tile.mapzen.com/mapzen/vector/v1/512/all/13/1309/3164.mvt?api_key=mapzen-6Lefst1,200,Metatile,187,616,5747
https://tile.mapzen.com/mapzen/vector/v1/512/all/13/1309/3165.mvt?api_key=mapzen-6Lefst1,200,Metatile,278,675,69166
https://tile.mapzen.com/mapzen/vector/v1/512/all/14/2616/6329.mvt?api_key=mapzen-6Lefst1,200,Metatile,309,600,9551
https://tile.mapzen.com/mapzen/vector/v1/512/all/14/2616/6335.mvt?api_key=mapzen-6Lefst1,200,Metatile,110,127,36027
https://tile.mapzen.com/mapzen/vector/v1/512/all/13/1311/3168.mvt?api_key=mapzen-6Lefst1,200,Metatile,333,622,6550
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/654/1582.mvt?api_key=mapzen-6Lefst1,200,Metatile,358,798,49300
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/654/1584.mvt?api_key=mapzen-6Lefst1,200,Metatile,270,794,74932
https://tile.mapzen.com/mapzen/vector/v1/512/all/13/1311/3164.mvt?api_key=mapzen-6Lefst1,200,Metatile,389,734,12062
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/654/1583.mvt?api_key=mapzen-6Lefst1,200,Metatile,351,830,132956
https://tile.mapzen.com/mapzen/vector/v1/512/all/14/2616/6336.mvt?api_key=mapzen-6Lefst1,200,Metatile,157,180,6282
https://tile.mapzen.com/mapzen/vector/v1/512/all/14/2616/6333.mvt?api_key=mapzen-6Lefst1,200,Metatile,209,289,187878
https://tile.mapzen.com/mapzen/vector/v1/512/all/14/2617/6330.mvt?api_key=mapzen-6Lefst1,200,Metatile,154,157,7248
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/655/1584.mvt?api_key=mapzen-6Lefst1,200,Metatile,291,839,54095
