url,response status,server,time to headers millis,time for content millis,response length bytes
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2454/1664.mvt?api_key=mapzen-SxtRdkR,200,Metatile,672,742,7770
https://tile.mapzen.com/mapzen/vector/v1/512/all/9/307/208.mvt?api_key=mapzen-SxtRdkR,200,Metatile,631,942,12989
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2454/1665.mvt?api_key=mapzen-SxtRdkR,200,Metatile,193,197,4004
https://tile.mapzen.com/mapzen/vector/v1/512/all/11/1229/833.mvt?api_key=mapzen-SxtRdkR,200,Metatile,665,941,2698
https://tile.mapzen.com/mapzen/vector/v1/512/all/11/1227/833.mvt?api_key=mapzen-SxtRdkR,200,Metatile,598,1019,25387
https://tile.mapzen.com/mapzen/vector/v1/512/all/11/1229/832.mvt?api_key=mapzen-SxtRdkR,200,Metatile,686,976,13727
https://tile.mapzen.com/mapzen/vector/v1/512/all/11/1229/831.mvt?api_key=mapzen-SxtRdkR,200,Metatile,533,1001,59084
https://tile.mapzen.com/mapzen/vector/v1/512/all/10/613/415.mvt?api_key=mapzen-SxtRdkR,200,Metatile,654,1100,34692
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2454/1666.mvt?api_key=mapzen-SxtRdkR,200,Metatile,208,213,6370
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2454/1662.mvt?api_key=mapzen-SxtRdkR,200,Metatile,708,1045,13988
https://tile.mapzen.com/mapzen/vector/v1/512/all/10/613/416.mvt?api_key=mapzen-SxtRdkR,200,Metatile,699,1208,22716
https://tile.mapzen.com/mapzen/vector/v1/512/all/10/614/416.mvt?api_key=mapzen-SxtRdkR,200,Metatile,664,1202,32548
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2454/1663.mvt?api_key=mapzen-SxtRdkR,200,Metatile,821,1106,9999
https://tile.mapzen.com/mapzen/vector/v1/512/all/9/306/207.mvt?api_key=mapzen-SxtRdkR,200,Metatile,557,1240,87119
https://tile.mapzen.com/mapzen/vector/v1/512/all/10/614/415.mvt?api_key=mapzen-SxtRdkR,200,Metatile,679,1223,56392
https://tile.mapzen.com/mapzen/vector/v1/512/all/9/307/207.mvt?api_key=mapzen-SxtRdkR,200,Metatile,709,1247,38420
https://tile.mapzen.com/mapzen/vector/v1/512/all/8/153/104.mvt?api_key=mapzen-SxtRdkR,200,Metatile,696,1259,61152
https://tile.mapzen.com/mapzen/vector/v1/512/all/6/38/25.mvt?api_key=mapzen-SxtRdkR,200,Metatile,726,1271,48642
https://tile.mapzen.com/mapzen/vector/v1/512/all/5/19/13.mvt?api_key=mapzen-SxtRdkR,200,Metatile,740,1281,43315
https://tile.mapzen.com/mapzen/vector/v1/512/all/5/19/12.mvt?api_key=mapzen-SxtRdkR,200,Metatile,850,1303,105424
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2455/1665.mvt?api_key=mapzen-SxtRdkR,200,Metatile,188,214,16250
https://tile.mapzen.com/mapzen/vector/v1/512/all/8/153/103.mvt?api_key=mapzen-SxtRdkR,200,Metatile,734,1311,120239
https://tile.mapzen.com/mapzen/vector/v1/512/all/6/38/26.mvt?api_key=mapzen-SxtRdkR,200,Metatile,857,1323,30732
https://tile.mapzen.com/mapzen/vector/v1/512/all/11/1227/831.mvt?api_key=mapzen-SxtRdkR,200,Metatile,792,1313,70381
https://tile.mapzen.com/mapzen/vector/v1/512/all/11/1227/832.mvt?api_key=mapzen-SxtRdkR,200,Metatile,818,1303,41540
https://tile.mapzen.com/mapzen/vector/v1/512/all/7/76/52.mvt?api_key=mapzen-SxtRdkR,200,Metatile,733,1355,91066
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2455/1666.mvt?api_key=mapzen-SxtRdkR,200,Metatile,244,252,13405
https://tile.mapzen.com/mapzen/vector/v1/512/all/11/1228/833.mvt?api_key=mapzen-SxtRdkR,200,Metatile,896,1261,17226
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2455/1664.mvt?api_key=mapzen-SxtRdkR,200,Metatile,258,281,29523
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2455/1662.mvt?api_key=mapzen-SxtRdkR,200,Metatile,223,294,29768
https://tile.mapzen.com/mapzen/vector/v1/512/all/3/4/3.mvt?api_key=mapzen-SxtRdkR,200,Metatile,714,1431,160935
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2456/1666.mvt?api_key=mapzen-SxtRdkR,200,Metatile,218,225,10096
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2456/1662.mvt?api_key=mapzen-SxtRdkR,200,Metatile,271,341,31344
https://tile.mapzen.com/mapzen/vector/v1/512/all/11/1228/832.mvt?api_key=mapzen-SxtRdkR,200,Metatile,708,1362,131681
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2457/1665.mvt?api_key=mapzen-SxtRdkR,200,Metatile,197,213,23587
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2457/1662.mvt?api_key=mapzen-SxtRdkR,200,Metatile,224,246,14228
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2456/1665.mvt?api_key=mapzen-SxtRdkR,200,Metatile,241,255,21494
https://tile.mapzen.com/mapzen/vector/v1/512/all/4/9/6.mvt?api_key=mapzen-SxtRdkR,200,Metatile,772,1499,180317
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2458/1663.mvt?api_key=mapzen-SxtRdkR,200,Metatile,211,215,13682
https://tile.mapzen.com/mapzen/vector/v1/512/all/12/2458/1664.mvt?api_key=mapzen-SxtRdkR,200,Metatile,229,233,6305
